Item Code,Product,Variant,Unit,Unit,Rate,Product Category
.13.02.05,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) solid wood single leaf flush door shutter having a frame of top, lock and bottom rail of sections 100 mm x 12 mm styles 100 mm x 38 mm covered with 100 mm x 12 mm plank, screwed to each face and provided with best quality 4 nos 100 mm iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 1 (one) no best quality hasp bolt, 2 (two) nos heavy type nickel plated handles, hinged cleats, buffer blocks and finished by sand papering etc. all complete in all floors and accepted by the Engineer-in-charge. (All sizes of wood are finished) (All sizes of wood are finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Chapalish wood,Per Sqm,Per Sqm,6806.46708819654,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.02.06,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) solid wood single leaf flush door shutter having a frame of top, lock and bottom rail of sections 100 mm x 12 mm styles 100 mm x 38 mm covered with 100 mm x 12 mm plank, screwed to each face and provided with best quality 4 nos 100 mm iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 1 (one) no best quality hasp bolt, 2 (two) nos heavy type nickel plated handles, hinged cleats, buffer blocks and finished by sand papering etc. all complete in all floors and accepted by the Engineer-in-charge. (All sizes of wood are finished) (All sizes of wood are finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Burma Teak wood,Per Sqm,Per Sqm,14591.165778174,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.03,"Supplying, fitting and fixing 38 mm thick finished well matured seasoned (minimum 250 mm wide plank) wooden ornamental special design (equivalent to hatil) (both sides) single panel flush door shutter with top and middle rail 150 mm x 38 mm bottom rail 225 mm x 38 mm and style 125 mm x 38 mm, having vertical panels 175 mm x 38 mm including minimum 12 mm lap to Each panel providing 4 nos, best quality 100 mm long brass hinges, 12 mm dia best quality 200 mm & 250 mm long brass socket and tower bolts, 1 (one) no best quality hasp bolt, 2 (two) nos heavy type best quality brass handle, hinges cleats, buffer blocks including supply of necessary nails and screws, making design by machine, finished etc. all complete in all floors and accepted by the Engineer-in-charge (Chittagong teak wood). (All sizes of wood are finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ","Supplying, fitting and fixing 38 mm thick finished well matured seasoned (minimum 250 mm wide plank) wooden ornamental special design (equivalent to hatil) (both sides) single panel flush door shutter with top and middle rail 150 mm x 38 mm bottom rail 225 mm x 38 mm and style 125 mm x 38 mm, having vertical panels 175 mm x 38 mm including minimum 12 mm lap to Each panel providing 4 nos, best quality 100 mm long brass hinges, 12 mm dia best quality 200 mm & 250 mm long brass socket and tower bolts, 1 (one) no best quality hasp bolt, 2 (two) nos heavy type best quality brass handle, hinges cleats, buffer blocks including supply of necessary nails and screws, making design by machine, finished etc. all complete in all floors and accepted by the Engineer-in-charge (Chittagong teak wood). (All sizes of wood are finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Per Sqm,Per Sqm,16311.8170135915,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.04.01,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) wooden double leaf panel door shutters. Top rail and styles of sections 100 mm x 38 mm, lock rail 125 mm x 38 mm and bottom rail 225 mm x 38 mm, paneling 38 mm thick both sides raised, provided with best quality 8 nos 100 mm long iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 2 (two) nos heavy type nickel plated handle, 1 no hasp-bolt, hinged cleats, buffer blocks and finished by sand papering, necessary screws etc. all complete in all floors and accepted by the Engineer-in-charge. (All sizes of wood are finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Kathal wood,Per Sqm,Per Sqm,9389.17438176631,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.04.02,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) wooden double leaf panel door shutters. Top rail and styles of sections 100 mm x 38 mm, lock rail 125 mm x 38 mm and bottom rail 225 mm x 38 mm, paneling 38 mm thick both sides raised, provided with best quality 8 nos 100 mm long iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 2 (two) nos heavy type nickel plated handle, 1 no hasp-bolt, hinged cleats, buffer blocks and finished by sand papering, necessary screws etc. all complete in all floors and accepted by the Engineer-in-charge. (All sizes of wood are finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Gamari Wood,Per Sqm,Per Sqm,7863.80756973868,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.04.03,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) wooden double leaf panel door shutters. Top rail and styles of sections 100 mm x 38 mm, lock rail 125 mm x 38 mm and bottom rail 225 mm x 38 mm, paneling 38 mm thick both sides raised, provided with best quality 8 nos 100 mm long iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 2 (two) nos heavy type nickel plated handle, 1 no hasp-bolt, hinged cleats, buffer blocks and finished by sand papering, necessary screws etc. all complete in all floors and accepted by the Engineer-in-charge. (All sizes of wood are finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Teak Chambal wood,Per Sqm,Per Sqm,12439.9080058216,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.04.04,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) wooden double leaf panel door shutters. Top rail and styles of sections 100 mm x 38 mm, lock rail 125 mm x 38 mm and bottom rail 225 mm x 38 mm, paneling 38 mm thick both sides raised, provided with best quality 8 nos 100 mm long iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 2 (two) nos heavy type nickel plated handle, 1 no hasp-bolt, hinged cleats, buffer blocks and finished by sand papering, necessary screws etc. all complete in all floors and accepted by the Engineer-in-charge. (All sizes of wood are finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Chittagong Teak wood,Per Sqm,Per Sqm,14855.0721248653,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.04.05,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) wooden double leaf panel door shutters. Top rail and styles of sections 100 mm x 38 mm, lock rail 125 mm x 38 mm and bottom rail 225 mm x 38 mm, paneling 38 mm thick both sides raised, provided with best quality 8 nos 100 mm long iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 2 (two) nos heavy type nickel plated handle, 1 no hasp-bolt, hinged cleats, buffer blocks and finished by sand papering, necessary screws etc. all complete in all floors and accepted by the Engineer-in-charge. (All sizes of wood are finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Chapalish wood,Per Sqm,Per Sqm,9516.28828276861,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.04.06,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) wooden double leaf panel door shutters. Top rail and styles of sections 100 mm x 38 mm, lock rail 125 mm x 38 mm and bottom rail 225 mm x 38 mm, paneling 38 mm thick both sides raised, provided with best quality 8 nos 100 mm long iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 2 (two) nos heavy type nickel plated handle, 1 no hasp-bolt, hinged cleats, buffer blocks and finished by sand papering, necessary screws etc. all complete in all floors and accepted by the Engineer-in-charge. (All sizes of wood are finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Burma Teak wood,Per Sqm,Per Sqm,20448.0837689666,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.05.01,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) wooden double leaf panel door shutters. Top rail and styles of sections 100 mm x 38 mm. lock rail 125 mm x 38 mm and bottom rail 225 mm x 38 mm. paneling 25 mm thick one side raised, provided with best quality 6 nos. 100 mm long iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 1 (one) no best quality hasp bolt, 2 (two) nos heavy type nickel plated handles, 1 (one) no best quality hasp bolt, hinged cleats, buffer blocks and finished by sand papering, necessary screws etc. all complete in all floors and accepted by the Engineer-in-charge.(All sizes of wood are finished) finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Kathal wood,Per Sqm,Per Sqm,8188.22648846943,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.05.02,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) wooden double leaf panel door shutters. Top rail and styles of sections 100 mm x 38 mm. lock rail 125 mm x 38 mm and bottom rail 225 mm x 38 mm. paneling 25 mm thick one side raised, provided with best quality 6 nos. 100 mm long iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 1 (one) no best quality hasp bolt, 2 (two) nos heavy type nickel plated handles, 1 (one) no best quality hasp bolt, hinged cleats, buffer blocks and finished by sand papering, necessary screws etc. all complete in all floors and accepted by the Engineer-in-charge.(All sizes of wood are finished) finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Gamari Wood,Per Sqm,Per Sqm,6887.92990837113,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.05.03,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) wooden double leaf panel door shutters. Top rail and styles of sections 100 mm x 38 mm. lock rail 125 mm x 38 mm and bottom rail 225 mm x 38 mm. paneling 25 mm thick one side raised, provided with best quality 6 nos. 100 mm long iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 1 (one) no best quality hasp bolt, 2 (two) nos heavy type nickel plated handles, 1 (one) no best quality hasp bolt, hinged cleats, buffer blocks and finished by sand papering, necessary screws etc. all complete in all floors and accepted by the Engineer-in-charge.(All sizes of wood are finished) finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Teak Chambal wood,Per Sqm,Per Sqm,10788.819648666,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.05.04,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) wooden double leaf panel door shutters. Top rail and styles of sections 100 mm x 38 mm. lock rail 125 mm x 38 mm and bottom rail 225 mm x 38 mm. paneling 25 mm thick one side raised, provided with best quality 6 nos. 100 mm long iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 1 (one) no best quality hasp bolt, 2 (two) nos heavy type nickel plated handles, 1 (one) no best quality hasp bolt, hinged cleats, buffer blocks and finished by sand papering, necessary screws etc. all complete in all floors and accepted by the Engineer-in-charge.(All sizes of wood are finished) finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Chittagong Teak wood,Per Sqm,Per Sqm,12847.622567155,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.05.05,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) wooden double leaf panel door shutters. Top rail and styles of sections 100 mm x 38 mm. lock rail 125 mm x 38 mm and bottom rail 225 mm x 38 mm. paneling 25 mm thick one side raised, provided with best quality 6 nos. 100 mm long iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 1 (one) no best quality hasp bolt, 2 (two) nos heavy type nickel plated handles, 1 (one) no best quality hasp bolt, hinged cleats, buffer blocks and finished by sand papering, necessary screws etc. all complete in all floors and accepted by the Engineer-in-charge.(All sizes of wood are finished) finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Chapalish wood,Per Sqm,Per Sqm,8296.58453681095,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.05.06,"Supplying, fitting and fixing 38 mm thick well matured seasoned (minimum 250 mm wide plank) wooden double leaf panel door shutters. Top rail and styles of sections 100 mm x 38 mm. lock rail 125 mm x 38 mm and bottom rail 225 mm x 38 mm. paneling 25 mm thick one side raised, provided with best quality 6 nos. 100 mm long iron hinges, 2 (two) nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 1 (one) no best quality hasp bolt, 2 (two) nos heavy type nickel plated handles, 1 (one) no best quality hasp bolt, hinged cleats, buffer blocks and finished by sand papering, necessary screws etc. all complete in all floors and accepted by the Engineer-in-charge.(All sizes of wood are finished) finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Burma Teak,Per Sqm,Per Sqm,17615.3766941821,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.06.01,"Supplying, fitting and fixing 38 mm thick finished well matured seasoned (minimum 250 mm wide plank) wooden grooved single panel flush door shutters with top and middle rail 100 mm x 38 mm, bottom rail 225 mm x 38 mm and style 100 mm x 38 mm, having vertical panels 100 mm x 38 mm including keeping 6 mm x 12 mm even groove all around and minimum 12 mm grooved lap to Each panel. Providing 4 nos best quality 100 mm long iron hinges, 12 mm dia best quality 200 mm and 250 mm long iron socket and tower bolts, 2 (two) nos heavy type best quality nickel plated handle, 1 (one) no best quality hasp bolt, hinged cleats, wooden buffer blocks including supply of necessary nails and screws, finished by sand papering etc. complete in all floors as per drawing and accepted by the Engineer-in-charge. (All sizes of wood are finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Kathal wood,Per Sqm,Per Sqm,9118.18248185808,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.06.02,"Supplying, fitting and fixing 38 mm thick finished well matured seasoned (minimum 250 mm wide plank) wooden grooved single panel flush door shutters with top and middle rail 100 mm x 38 mm, bottom rail 225 mm x 38 mm and style 100 mm x 38 mm, having vertical panels 100 mm x 38 mm including keeping 6 mm x 12 mm even groove all around and minimum 12 mm grooved lap to Each panel. Providing 4 nos best quality 100 mm long iron hinges, 12 mm dia best quality 200 mm and 250 mm long iron socket and tower bolts, 2 (two) nos heavy type best quality nickel plated handle, 1 (one) no best quality hasp bolt, hinged cleats, wooden buffer blocks including supply of necessary nails and screws, finished by sand papering etc. complete in all floors as per drawing and accepted by the Engineer-in-charge. (All sizes of wood are finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Gamari Wood,Per Sqm,Per Sqm,7677.59492055476,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.06.03,"Supplying, fitting and fixing 38 mm thick finished well matured seasoned (minimum 250 mm wide plank) wooden grooved single panel flush door shutters with top and middle rail 100 mm x 38 mm, bottom rail 225 mm x 38 mm and style 100 mm x 38 mm, having vertical panels 100 mm x 38 mm including keeping 6 mm x 12 mm even groove all around and minimum 12 mm grooved lap to Each panel. Providing 4 nos best quality 100 mm long iron hinges, 12 mm dia best quality 200 mm and 250 mm long iron socket and tower bolts, 2 (two) nos heavy type best quality nickel plated handle, 1 (one) no best quality hasp bolt, hinged cleats, wooden buffer blocks including supply of necessary nails and screws, finished by sand papering etc. complete in all floors as per drawing and accepted by the Engineer-in-charge. (All sizes of wood are finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Chittagong Teak wood,Per Sqm,Per Sqm,14280.2879098617,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.06.04,"Supplying, fitting and fixing 38 mm thick finished well matured seasoned (minimum 250 mm wide plank) wooden grooved single panel flush door shutters with top and middle rail 100 mm x 38 mm, bottom rail 225 mm x 38 mm and style 100 mm x 38 mm, having vertical panels 100 mm x 38 mm including keeping 6 mm x 12 mm even groove all around and minimum 12 mm grooved lap to Each panel. Providing 4 nos best quality 100 mm long iron hinges, 12 mm dia best quality 200 mm and 250 mm long iron socket and tower bolts, 2 (two) nos heavy type best quality nickel plated handle, 1 (one) no best quality hasp bolt, hinged cleats, wooden buffer blocks including supply of necessary nails and screws, finished by sand papering etc. complete in all floors as per drawing and accepted by the Engineer-in-charge. (All sizes of wood are finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Chapalish wood,Per Sqm,Per Sqm,9238.23144530003,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.06.05,"Supplying, fitting and fixing 38 mm thick finished well matured seasoned (minimum 250 mm wide plank) wooden grooved single panel flush door shutters with top and middle rail 100 mm x 38 mm, bottom rail 225 mm x 38 mm and style 100 mm x 38 mm, having vertical panels 100 mm x 38 mm including keeping 6 mm x 12 mm even groove all around and minimum 12 mm grooved lap to Each panel. Providing 4 nos best quality 100 mm long iron hinges, 12 mm dia best quality 200 mm and 250 mm long iron socket and tower bolts, 2 (two) nos heavy type best quality nickel plated handle, 1 (one) no best quality hasp bolt, hinged cleats, wooden buffer blocks including supply of necessary nails and screws, finished by sand papering etc. complete in all floors as per drawing and accepted by the Engineer-in-charge. (All sizes of wood are finished), (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Burma Teak,Per Sqm,Per Sqm,19562.4423013072,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
.13.07.01,"Supplying, fitting and fixing 36 mm thick and having density 400 kg/cum solid particle board single leaf flush door for all floors for internal use made of well matured mechanical seasoned Rubber (Malaysian timber) or other approved wooden frame having finished size 35 mm x 50 mm around upon which 1.2 mm thick veneer (total two nos of veneers one of 0.7 mm horizontally made of garjon and another of 0.5 mm vertically made of Burma Teak or Champa or Chapalish or Garjan wood) are pested on Each side by mechanized process and provided with best quality 4 nos 100 mm long iron hinges, 2 nos best quality 12 mm dia 250 mm and 200 mm long iron tower and socket bolts, 2 (two) nos heavy type nickel plated handles, hinged cleats, buffer blocks, necessary screws etc. all complete and accepted by the Engineer-in-charge, (This item includes materials cost, labour charge, carrying charge with VAT, Income Tax & Profit). ",Burma Teak veneered,Per Sqm,Per Sqm,5195.46667428196,Schedule Rate / DIVISION : 13 (DOOR-WINDOW SHUTTER & FLY PROOF WIRE-NET SHUTTER)
